id,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,target
93702,0,0,1,0,0,0,1,0,0,3,0,0,1,0,1,2,10,0,0,0,0,1,0,6,0,0,0,0,1,0,0,5,0,0,0,5,0,0,6,1,3,0,0,1,0,0,0,0,2,1,Class_2
73691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,2,0,1,6,0,0,1,0,0,0,0,0,0,0,0,Class_2
98070,0,0,0,1,0,0,0,1,0,4,0,2,0,1,1,1,0,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Class_3
84610,0,0,2,0,0,0,0,2,0,2,0,5,0,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,3,0,1,0,0,0,1,2,1,0,Class_2
32260,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,14,0,0,1,0,2,0,9,8,1,0,0,0,0,0,2,9,Class_4
36290,0,0,0,0,0,0,0,8,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,1,3,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,Class_4
78449,0,0,0,0,0,0,1,3,0,0,3,0,0,0,0,1,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,Class_2
60055,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class_2
45948,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,5,1,Class_1
84463,0,0,0,1,0,0,0,2,0,2,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Class_2
30959,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,3,1,0,3,0,0,0,1,2,0,Class_2
64290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,Class_4
17933,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,11,0,0,0,16,0,0,0,0,0,1,0,0,2,0,0,3,0,0,0,0,0,0,18,0,1,1,0,7,0,0,0,0,0,0,Class_2
33608,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,12,0,0,0,0,0,1,5,0,0,1,0,Class_4
66598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,Class_3
99089,0,0,0,0,0,0,5,0,0,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,3,Class_2
63587,0,0,0,1,0,0,1,0,15,1,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,0,0,0,0,1,0,0,0,9,0,0,4,0,0,0,0,0,0,0,7,0,0,0,Class_2
4293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,3,3,0,Class_4
86411,0,14,0,0,0,0,1,1,2,0,0,0,0,0,3,1,1,0,5,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,3,2,0,3,0,2,0,0,0,0,2,Class_2
53929,0,0,0,2,0,0,10,0,0,0,3,3,0,0,1,0,0,0,3,1,0,0,0,0,4,2,0,0,0,0,0,1,0,0,0,18,0,1,0,0,4,0,0,0,0,0,0,0,1,0,Class_3
87070,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,9,0,4,0,0,0,0,0,0,0,0,0,Class_2
30712,0,0,0,10,0,0,2,0,0,0,0,0,1,0,1,0,0,0,2,0,0,2,0,1,0,0,2,0,1,0,0,0,0,2,0,0,0,0,27,0,2,0,0,0,0,0,0,0,0,0,Class_2
49182,0,0,0,0,0,0,2,0,0,7,0,0,0,0,39,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,Class_2
57234,5,0,0,0,1,1,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,Class_2
91912,0,15,0,0,2,0,0,5,0,1,0,0,3,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,2,0,0,1,3,Class_2
55325,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,Class_2
29857,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,13,0,0,0,0,1,0,0,4,0,0,0,6,1,0,0,1,0,0,1,0,0,11,0,0,0,1,Class_3
52458,0,0,0,0,0,0,0,7,0,0,0,0,9,0,0,4,0,0,0,0,0,0,4,3,3,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,Class_3
59649,0,0,0,3,0,0,0,8,0,3,0,0,0,0,1,0,0,4,0,0,0,9,0,1,4,2,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,8,0,0,0,5,0,3,Class_4
44952,1,0,0,0,0,0,0,0,15,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,Class_2
89884,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,2,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Class_3
89404,0,1,0,7,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Class_2
66293,0,0,0,0,0,0,2,4,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,0,0,0,9,0,2,0,0,5,0,0,1,0,2,0,0,0,0,Class_2
65539,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,2,0,0,0,1,0,0,Class_3
28110,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,Class_2
41928,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,1,0,0,0,1,0,0,10,2,0,0,0,8,0,0,0,0,Class_3
82585,0,0,0,0,0,0,1,0,12,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,7,0,0,0,0,0,0,0,1,0,Class_4
91657,0,0,0,11,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,1,17,0,0,1,0,1,0,28,0,0,0,0,0,0,0,0,18,0,0,Class_2
84340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,4,3,0,0,0,0,0,Class_2
39874,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,1,1,0,1,0,1,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class_2
78468,0,0,0,0,0,0,0,0,0,9,0,0,0,0,22,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,2,0,0,1,0,0,0,3,0,4,0,2,1,0,1,0,7,1,2,Class_4
14952,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,1,0,0,1,3,3,2,0,1,0,0,0,0,0,Class_3
39331,0,0,0,0,0,0,0,0,13,1,0,0,0,0,5,2,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,12,0,0,0,0,20,0,1,0,0,0,0,2,0,0,0,0,Class_2
48587,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,Class_4
41487,0,0,2,0,0,0,2,0,1,1,0,0,0,1,0,0,0,4,1,0,9,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,Class_2
39627,0,1,3,0,2,0,9,1,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,1,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,Class_4
67403,0,0,0,0,0,0,16,3,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,4,0,0,2,7,0,0,0,0,0,5,11,0,0,2,0,0,0,0,Class_2
98084,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,6,Class_2
95601,0,0,0,0,0,2,0,0,0,0,0,0,0,0,17,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,3,2,Class_2
5019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,4,10,0,20,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,Class_2
5223,0,1,0,0,0,0,0,5,0,0,1,1,0,1,4,3,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,Class_3
15780,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1,0,6,0,0,0,0,0,0,Class_4
45556,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,9,Class_2
12896,0,0,0,1,0,0,11,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,3,0,0,0,2,0,0,3,0,4,8,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,Class_3
93322,0,0,0,0,0,0,0,1,1,1,0,1,3,2,1,1,0,0,0,22,0,0,3,0,0,0,0,0,1,0,0,3,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,10,1,1,Class_2
5324,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,Class_1
52925,0,0,0,1,0,0,0,0,0,0,0,0,3,0,21,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,3,0,0,0,0,0,0,0,0,5,0,11,Class_2
62864,0,0,0,1,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Class_3
90376,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,6,0,0,1,9,0,0,0,0,1,0,0,0,0,0,1,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Class_1
41720,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,0,1,0,0,0,1,0,1,3,0,3,0,1,7,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,Class_2
866,0,0,0,0,0,2,1,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,7,0,2,1,0,0,0,3,0,0,0,0,Class_2
98443,0,16,0,0,0,1,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,5,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,Class_2
83039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,6,0,0,0,2,0,0,0,0,0,0,0,Class_2
13924,0,0,0,0,12,0,1,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,Class_2
31183,0,13,0,0,1,0,9,1,0,5,0,0,0,0,27,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,1,4,0,0,0,0,0,0,2,0,0,16,0,Class_2
13799,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,Class_2
40988,0,0,0,13,0,0,1,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,Class_2
66733,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,7,1,11,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,1,0,0,0,0,Class_3
78330,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,0,4,0,0,0,0,0,0,0,0,0,Class_2
24378,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2,6,0,0,1,10,0,0,0,0,0,1,0,0,0,1,0,Class_2
23414,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,Class_2
97559,0,0,0,0,31,0,7,1,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,2,Class_2
22992,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,20,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,1,0,Class_3
21325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,5,0,Class_2
86233,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,1,0,Class_3
29823,2,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Class_3
92484,1,0,0,0,0,0,0,1,2,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,Class_4
68424,0,0,0,0,0,0,0,3,0,1,0,0,0,0,9,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,Class_1
51019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,0,2,0,0,0,0,0,0,0,0,0,0,0,Class_4
26753,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,3,0,7,0,1,0,0,0,1,0,0,0,2,0,0,0,0,3,0,0,Class_2
29056,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0,1,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,Class_2
55317,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class_2
79277,0,0,0,0,0,0,1,0,0,3,0,0,1,0,1,0,0,0,0,10,1,0,0,1,0,0,0,0,0,0,0,2,1,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Class_2
5464,0,0,0,0,11,0,4,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,Class_3
70669,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,3,0,0,1,0,0,0,0,0,5,0,0,0,Class_2
56013,3,0,0,1,0,0,0,0,0,1,0,4,0,0,2,1,0,4,1,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,2,0,0,2,0,0,0,0,0,0,0,0,Class_2
12085,0,0,0,0,1,0,0,0,0,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,0,3,0,0,0,0,0,0,0,0,0,Class_2
56818,0,0,0,1,0,0,0,0,3,1,1,0,0,1,1,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,5,6,0,0,4,0,0,0,0,0,0,1,0,Class_4
20000,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,Class_4
69066,0,0,0,0,0,0,0,0,21,0,0,4,0,0,0,0,0,0,0,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,Class_2
50452,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class_2
90709,0,0,0,0,13,0,11,2,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,7,1,0,0,1,0,0,3,0,0,3,0,0,0,1,0,0,1,12,0,0,0,0,0,0,0,Class_3
